rnd_server_id,label_id,img_count
,,count
0,0,358
0,1,347
0,2,343
0,3,651
0,4,499
0,5,353
0,6,495
0,7,1103
0,8,649
0,9,348
1,0,201
1,1,802
1,2,638
1,3,201
1,4,342
1,5,645
1,6,345
1,7,501
1,8,366
1,9,939
2,0,501
2,1,506
2,2,833
2,3,211
2,4,515
2,5,526
2,6,825
2,7,211
2,8,658
2,9,228
3,0,501
3,1,644
3,2,797
3,3,490
3,4,348
3,5,804
3,6,206
3,7,503
3,8,646
3,9,207
4,0,491
4,1,484
4,2,186
4,3,640
4,4,491
4,5,482
4,6,194
4,7,195
4,8,340
4,9,481
5,0,357
5,1,521
5,2,359
5,3,659
5,4,207
5,5,656
5,6,797
5,7,498
5,8,960
5,9,962
6,0,648
6,1,500
6,2,351
6,3,359
6,4,653
6,5,643
6,6,655
6,7,349
6,8,485
6,9,503
7,0,1110
7,1,510
7,2,356
7,3,361
7,4,642
7,5,502
7,6,499
7,7,363
7,8,350
7,9,951
8,0,498
8,1,648
8,2,658
8,3,649
8,4,665
8,5,201
8,6,949
8,7,808
8,8,225
8,9,343
9,0,335
9,1,38
9,2,479
9,3,779
9,4,638
9,5,188
9,6,35
9,7,469
9,8,321
9,9,38
