rnd_server_id,label_id,img_count
,,count
0,0,217
0,1,219
0,2,215
0,3,219
0,4,213
0,5,215
0,6,215
0,7,211
0,8,218
0,9,216
1,0,297
1,1,299
1,2,297
1,3,298
1,4,304
1,5,299
1,6,303
1,7,295
1,8,297
1,9,299
2,0,196
2,1,194
2,2,201
2,3,203
2,4,197
2,5,204
2,6,197
2,7,202
2,8,198
2,9,200
3,0,352
3,1,350
3,2,346
3,3,344
3,4,352
3,5,350
3,6,347
3,7,352
3,8,347
3,9,346
4,0,235
4,1,237
4,2,229
4,3,231
4,4,231
4,5,238
4,6,232
4,7,233
4,8,228
4,9,230
5,0,197
5,1,197
5,2,198
5,3,199
5,4,200
5,5,201
5,6,204
5,7,200
5,8,194
5,9,202
6,0,216
6,1,218
6,2,214
6,3,218
6,4,214
6,5,216
6,6,217
6,7,215
6,8,213
6,9,217
7,0,190
7,1,182
7,2,183
7,3,181
7,4,187
7,5,181
7,6,180
7,7,178
7,8,183
7,9,181
8,0,283
8,1,283
8,2,284
8,3,278
8,4,283
8,5,286
8,6,279
8,7,280
8,8,281
8,9,285
9,0,283
9,1,283
9,2,282
9,3,281
9,4,284
9,5,284
9,6,282
9,7,284
9,8,276
9,9,283
10,0,265
10,1,264
10,2,270
10,3,267
10,4,267
10,5,267
10,6,265
10,7,262
10,8,259
10,9,270
11,0,294
11,1,297
11,2,302
11,3,307
11,4,298
11,5,296
11,6,294
11,7,297
11,8,298
11,9,305
12,0,198
12,1,196
12,2,201
12,3,199
12,4,201
12,5,197
12,6,198
12,7,204
12,8,199
12,9,199
13,0,281
13,1,282
13,2,279
13,3,284
13,4,281
13,5,282
13,6,283
13,7,279
13,8,285
13,9,286
14,0,282
14,1,285
14,2,283
14,3,280
14,4,281
14,5,276
14,6,288
14,7,284
14,8,286
14,9,277
15,0,216
15,1,214
15,2,220
15,3,213
15,4,212
15,5,213
15,6,216
15,7,220
15,8,219
15,9,215
16,0,315
16,1,315
16,2,318
16,3,315
16,4,317
16,5,317
16,6,315
16,7,313
16,8,319
16,9,310
17,0,213
17,1,218
17,2,215
17,3,212
17,4,212
17,5,216
17,6,217
17,7,216
17,8,226
17,9,213
18,0,232
18,1,231
18,2,230
18,3,230
18,4,231
18,5,228
18,6,233
18,7,237
18,8,240
18,9,232
19,0,214
19,1,215
19,2,216
19,3,215
19,4,213
19,5,217
19,6,215
19,7,223
19,8,219
19,9,211
