rnd_server_id,label_id,img_count
,,count
0,0,177
0,1,16
0,2,184
0,3,20
0,4,320
0,5,464
0,6,472
0,7,320
0,8,166
0,9,19
1,0,176
1,1,480
1,2,178
1,3,482
1,4,177
1,5,326
1,6,625
1,7,40
1,8,31
1,9,473
2,0,321
2,1,319
2,2,317
2,3,166
2,4,22
2,5,22
2,6,168
2,7,165
2,8,170
2,9,322
3,0,486
3,1,638
3,2,340
3,3,31
3,4,632
3,5,32
3,6,180
3,7,28
3,8,786
3,9,333
4,0,611
4,1,322
4,2,22
4,3,28
4,4,29
4,5,331
4,6,170
4,7,169
4,8,623
4,9,19
5,0,479
5,1,192
5,2,183
5,3,45
5,4,343
5,5,343
5,6,336
5,7,37
5,8,33
5,9,201
6,0,325
6,1,320
6,2,167
6,3,327
6,4,323
6,5,16
6,6,169
6,7,471
6,8,20
6,9,20
7,0,24
7,1,170
7,2,316
7,3,314
7,4,166
7,5,322
7,6,167
7,7,168
7,8,15
7,9,164
8,0,332
8,1,328
8,2,471
8,3,328
8,4,23
8,5,325
8,6,24
8,7,331
8,8,182
8,9,478
9,0,181
9,1,627
9,2,172
9,3,323
9,4,320
9,5,333
9,6,172
9,7,333
9,8,328
9,9,33
10,0,174
10,1,25
10,2,171
10,3,322
10,4,479
10,5,481
10,6,320
10,7,325
10,8,29
10,9,330
11,0,322
11,1,176
11,2,489
11,3,173
11,4,28
11,5,177
11,6,631
11,7,175
11,8,337
11,9,480
12,0,166
12,1,168
12,2,166
12,3,26
12,4,171
12,5,161
12,6,170
12,7,473
12,8,314
12,9,177
13,0,329
13,1,326
13,2,31
13,3,177
13,4,322
13,5,320
13,6,329
13,7,477
13,8,473
13,9,38
14,0,181
14,1,329
14,2,323
14,3,179
14,4,330
14,5,175
14,6,28
14,7,184
14,8,323
14,9,770
15,0,22
15,1,20
15,2,173
15,3,465
15,4,176
15,5,473
15,6,174
15,7,170
15,8,323
15,9,162
16,0,322
16,1,28
16,2,327
16,3,638
16,4,329
16,5,182
16,6,184
16,7,331
16,8,189
16,9,624
17,0,22
17,1,19
17,2,318
17,3,320
17,4,322
17,5,167
17,6,181
17,7,318
17,8,471
17,9,20
18,0,333
18,1,166
18,2,178
18,3,174
18,4,317
18,5,178
18,6,175
18,7,464
18,8,173
18,9,166
19,0,17
19,1,331
19,2,474
19,3,462
19,4,171
19,5,172
19,6,325
19,7,21
19,8,14
19,9,171
