metis_server_id,label_id,img_count
,,count
0,0,504
0,1,493
0,2,496
0,3,499
0,4,497
0,5,497
0,6,500
0,7,495
0,8,501
0,9,498
1,0,496
1,1,501
1,2,495
1,3,495
1,4,495
1,5,499
1,6,502
1,7,496
1,8,504
1,9,497
2,0,491
2,1,496
2,2,508
2,3,496
2,4,501
2,5,497
2,6,501
2,7,502
2,8,494
2,9,494
3,0,499
3,1,502
3,2,495
3,3,500
3,4,501
3,5,506
3,6,494
3,7,498
3,8,491
3,9,494
4,0,499
4,1,497
4,2,496
4,3,502
4,4,502
4,5,498
4,6,503
4,7,494
4,8,491
4,9,498
5,0,499
5,1,495
5,2,501
5,3,492
5,4,498
5,5,500
5,6,492
5,7,502
5,8,504
5,9,497
6,0,493
6,1,490
6,2,498
6,3,497
6,4,495
6,5,497
6,6,492
6,7,508
6,8,508
6,9,502
7,0,505
7,1,500
7,2,493
7,3,495
7,4,496
7,5,499
7,6,496
7,7,500
7,8,499
7,9,497
8,0,495
8,1,502
8,2,500
8,3,502
8,4,499
8,5,491
8,6,499
8,7,494
8,8,495
8,9,503
9,0,495
9,1,503
9,2,501
9,3,496
9,4,494
9,5,499
9,6,501
9,7,496
9,8,498
9,9,497
