,pc1,pc2
0,-22.562538,25.158615
1,47.83529,-3.0904913
2,10.886092,-21.892223
3,17.17688,-24.937235
4,24.946856,-22.497892
5,13.5814295,-39.765335
6,4.941644,-22.181753
7,-4.2138047,-29.23012
8,39.02359,0.23569316
9,-7.583659,-22.782799
10,9.4874,-7.1223297
11,31.819412,-24.367588
12,25.774282,-32.4805
13,14.482556,-3.6237376
14,6.5498238,-13.030284
15,34.30237,-15.228938
16,23.665674,-31.96881
17,18.87103,-6.4062595
18,13.700245,-4.5399504
19,28.9736,-16.258505
20,23.33591,-17.296906
21,31.890543,-31.584785
22,15.327837,-38.970917
23,28.478214,-17.506636
24,23.688581,-37.690296
25,0.5092327,6.7095094
26,19.994785,-29.741066
27,19.224537,-31.899729
28,37.087284,-20.88451
29,21.351416,-12.689894
30,-58.298367,-18.545603
31,-46.64715,-32.110413
32,-65.81511,-12.4083185
33,-77.41487,-11.161619
34,-45.362953,-26.386257
35,-72.06578,-35.890846
36,-36.908207,-25.592949
37,-59.10419,-26.966429
38,-46.278748,-34.181892
39,-70.313446,12.8170595
40,-50.05395,-33.408646
41,-75.79412,21.638018
42,-66.01401,-47.696682
43,-38.166943,-19.039278
44,-61.070374,-45.381474
45,-58.012444,-7.056726
46,-75.4574,-14.031944
47,-51.821907,-4.9998183
48,-46.61144,5.26009
49,-64.29075,-25.775505
50,-62.638275,-41.40855
51,-80.762436,-17.773329
52,-48.98948,-2.9677863
53,-69.77891,-30.980717
54,-80.389755,-12.664332
55,-58.209717,-17.417345
56,-28.442762,-23.828564
57,-58.03909,-56.245758
58,-72.58053,-6.2289176
59,-60.384796,1.5446595
60,93.59376,-106.59358
61,67.36222,-129.58125
62,96.97394,-93.44728
63,76.780205,-98.60207
64,52.777393,-118.72491
65,79.6197,-97.487274
66,87.90304,-110.19627
67,68.678955,-103.46839
68,72.16784,-114.720146
69,85.85693,-81.455864
70,85.69574,-97.95159
71,80.58905,-88.701744
72,74.139,-107.99136
73,68.30456,-108.85196
74,96.85579,-117.22216
75,100.12212,-107.9093
76,100.84748,-127.62601
77,93.939804,-114.26671
78,107.34044,-101.619606
79,78.373375,-116.480255
80,89.81598,-115.014755
81,43.464558,-122.70368
82,83.485306,-78.92461
83,80.07067,-105.623116
84,105.37917,-87.06417
85,89.7175,-117.06364
86,86.36346,-114.96216
87,86.21234,-90.53889
88,103.58079,-116.33679
89,78.878235,-99.579185
90,-194.56067,68.73092
91,-196.37575,86.89725
92,-239.75945,92.39313
93,-220.09724,61.627144
94,-206.94742,69.20367
95,-219.81696,86.01743
96,-205.03067,76.8046
97,-220.74944,83.25262
98,-224.65222,68.863976
99,-207.92732,68.048584
100,-205.41287,100.317245
101,-207.07024,77.72641
102,-189.57327,68.082794
103,-203.03809,71.31602
104,-225.49596,77.57409
105,-201.81036,53.334408
106,-207.11374,73.269135
107,-227.5187,105.64046
108,-230.08635,92.92317
109,-215.2456,83.87266
110,-226.18553,92.17209
111,-210.65924,64.03046
112,-236.3404,79.42198
113,-223.46008,105.918785
114,-204.31674,65.67712
115,-224.13467,96.71752
116,-219.55925,66.32753
117,-222.24101,82.55672
118,-215.0978,82.11321
119,-222.47026,91.79755
120,-194.5089,-256.80222
121,-190.16542,-260.66028
122,-200.23941,-243.36813
123,-186.55255,-255.7141
124,-195.18228,-251.84676
125,-180.82661,-265.84647
126,-201.02223,-259.9699
127,-191.94426,-262.75464
128,-180.27153,-261.09747
129,-209.92157,-241.19606
130,-223.30342,-255.63426
131,-182.40042,-254.59863
132,-189.285,-259.97678
133,-167.62506,-255.0703
134,-217.55142,-257.0945
135,-185.77489,-264.8787
136,-181.0787,-247.00029
137,-198.94469,-262.7007
138,-199.9087,-257.01846
139,-184.17697,-259.07742
140,-176.91902,-241.20505
141,-192.7741,-247.1867
142,-193.58803,-243.98016
143,-201.01393,-258.1552
144,-171.11478,-261.3486
145,-186.21358,-254.56038
146,-211.26889,-231.75949
147,-194.97995,-248.45035
148,-179.66472,-248.40453
149,-210.93854,-267.46524
150,123.137085,337.3104
151,152.58658,323.98877
152,132.27562,338.335
153,122.17971,326.0702
154,94.35994,320.49628
155,112.153465,342.6969
156,126.09331,328.56323
157,163.12755,325.01736
158,122.29889,351.4788
159,114.61966,331.46555
160,122.53557,316.59174
161,129.74396,333.42392
162,124.93146,341.36905
163,104.02526,361.35767
164,126.76189,340.3043
165,110.76468,339.99155
166,125.73769,326.86554
167,145.80885,348.40857
168,132.18973,352.30255
169,153.43396,313.63388
170,112.89786,328.02286
171,94.595314,337.2101
172,133.63983,337.64465
173,109.212975,354.63644
174,115.61437,354.44946
175,122.26718,338.9745
176,139.81511,344.11975
177,131.01778,346.6773
178,112.72304,335.06354
179,121.617836,325.96457
180,-42.746437,-148.43233
181,-81.30304,-92.21327
182,-66.077126,-128.06868
183,-54.225464,-127.06778
184,-74.436165,-150.5329
185,-77.65903,-129.3637
186,-71.07846,-120.8959
187,-82.44861,-112.09003
188,-77.69388,-112.23814
189,-60.00707,-135.87636
190,-67.988205,-116.59789
191,-68.899605,-130.99297
192,-78.63452,-115.8582
193,-63.580627,-111.499344
194,-64.544426,-105.71303
195,-46.679756,-112.38137
196,-72.46115,-148.74202
197,-47.609306,-150.72757
198,-59.91155,-133.61098
199,-84.341606,-131.30896
200,-73.37759,-108.82236
201,-72.93962,-110.08126
202,-57.475994,-148.01323
203,-70.74055,-134.96796
204,-76.16364,-137.18646
205,-76.587494,-121.97181
206,-68.70013,-134.62886
207,-59.89995,-154.51482
208,-68.21518,-130.22968
209,-74.182076,-107.977036
210,242.08905,-108.81598
211,233.92632,-96.961266
212,239.48677,-104.483864
213,251.50694,-110.06072
214,258.8347,-101.434944
215,247.97054,-97.89257
216,244.96584,-99.55571
217,280.5072,-78.66639
218,258.6101,-76.58326
219,255.743,-83.97067
220,240.93031,-93.82293
221,256.71115,-112.71801
222,260.14056,-116.47866
223,244.00867,-104.142265
224,233.56139,-103.49887
225,246.70108,-124.35042
226,245.28432,-117.16791
227,254.33943,-94.669304
228,260.4091,-98.96378
229,270.60614,-104.30432
230,265.49326,-120.75862
231,238.03174,-127.42652
232,252.76953,-107.25308
233,262.49277,-105.22366
234,249.54765,-116.75682
235,240.11815,-100.21493
236,266.9188,-111.320366
237,262.2595,-107.61511
238,247.6983,-109.86479
239,242.45082,-115.454056
240,258.27307,6.442962
241,256.18597,13.480807
242,279.2536,4.448699
243,254.1942,-15.044637
244,262.03452,-18.353352
245,258.29388,-25.012535
246,274.37827,-13.699057
247,272.6309,6.79678
248,257.64273,2.9295952
249,258.3214,-25.525763
250,260.72226,-17.82799
251,268.20825,-17.716866
252,263.1969,-20.675411
253,273.16824,-10.018976
254,265.4568,0.31377295
255,262.73682,-12.627414
256,258.8922,6.3628545
257,262.24448,-11.367986
258,263.2032,-2.240795
259,261.66995,-11.318362
260,291.10706,-7.8990455
261,270.35406,14.30589
262,260.54483,-22.960026
263,258.7123,-13.871709
264,249.26093,-18.108847
265,244.98108,7.3431115
266,267.16925,-5.2548137
267,260.15234,-10.945909
268,251.19212,-21.147732
269,247.69331,6.0693674
270,-216.0448,202.69221
271,-213.22119,228.28592
272,-226.31123,219.4155
273,-205.82213,237.90193
274,-206.66891,222.62775
275,-186.76808,216.24837
276,-213.00548,221.73412
277,-200.91759,214.17926
278,-218.01785,229.11981
279,-222.89723,228.15
280,-184.90573,224.33047
281,-200.90796,207.43555
282,-217.30302,225.4106
283,-219.66205,197.62549
284,-211.97449,230.2383
285,-199.12498,222.43369
286,-192.32419,223.50641
287,-167.65834,232.25076
288,-261.38788,232.62596
289,-195.09474,236.93486
290,-205.5302,236.47757
291,-183.15668,219.28685
292,-201.78453,226.87317
293,-215.49832,230.27809
294,-199.86475,216.26527
295,-199.86992,193.33626
296,-215.68866,214.39859
297,-171.06366,219.26042
298,-206.58942,219.48889
299,-208.2918,224.27127
