mip_server_id,label_id,img_count
,,count
0,0,221
0,1,265
0,2,752
0,3,212
0,4,33
0,5,720
0,6,31
0,7,414
0,8,561
0,9,591
1,0,2918
1,1,3053
1,2,2029
1,3,2815
1,4,2166
1,5,1451
1,6,2019
1,7,2514
1,8,3076
1,9,2559
2,0,8
2,1,37
2,2,16
2,3,196
2,4,7
2,5,181
2,6,198
2,7,196
2,8,11
2,9,550
3,0,23
3,1,222
3,2,197
3,3,21
3,4,193
3,5,180
3,6,552
3,7,28
3,8,13
3,9,371
4,0,213
4,1,627
4,2,215
4,3,962
4,4,384
4,5,542
4,6,579
4,7,426
4,8,221
4,9,31
5,0,385
5,1,262
5,2,217
5,3,219
5,4,203
5,5,361
5,6,378
5,7,399
5,8,564
5,9,212
6,0,580
6,1,300
6,2,776
6,3,69
6,4,932
6,5,541
6,6,1125
6,7,442
6,8,211
6,9,224
7,0,415
7,1,1018
7,2,772
7,3,263
7,4,582
7,5,182
7,6,228
7,7,802
7,8,945
7,9,593
8,0,408
8,1,688
8,2,414
8,3,964
8,4,955
8,5,721
8,6,596
8,7,636
8,8,222
8,9,596
9,0,752
9,1,270
9,2,570
9,3,410
9,4,387
9,5,542
9,6,212
9,7,408
9,8,27
9,9,222
