rnd_server_id,label_id,img_count
,,count
0,0,413
0,1,486
0,2,420
0,3,810
0,4,581
0,5,363
0,6,590
0,7,1365
0,8,764
0,9,408
1,0,242
1,1,1018
1,2,778
1,3,253
1,4,409
1,5,720
1,6,414
1,7,613
1,8,416
1,9,1137
2,0,588
2,1,677
2,2,953
2,3,241
2,4,579
2,5,543
2,6,942
2,7,270
2,8,780
2,9,227
3,0,589
3,1,859
3,2,953
3,3,626
3,4,404
3,5,902
3,6,237
3,7,629
3,8,755
3,9,246
4,0,571
4,1,643
4,2,225
4,3,774
4,4,583
4,5,541
4,6,226
4,7,248
4,8,399
4,9,590
5,0,432
5,1,722
5,2,427
5,3,800
5,4,228
5,5,723
5,6,957
5,7,643
5,8,1116
5,9,1152
6,0,785
6,1,675
6,2,416
6,3,445
6,4,764
6,5,723
6,6,763
6,7,439
6,8,591
6,9,599
7,0,1313
7,1,688
7,2,430
7,3,443
7,4,777
7,5,542
7,6,605
7,7,457
7,8,410
7,9,1135
8,0,594
8,1,874
8,2,778
8,3,799
8,4,771
8,5,181
8,6,1148
8,7,1009
8,8,229
8,9,417
9,0,396
9,1,100
9,2,578
9,3,940
9,4,746
9,5,183
9,6,36
9,7,592
9,8,391
9,9,38
