rnd_server_id,label_id,img_count
,,count
0,0,159
0,1,179
0,2,155
0,3,165
0,4,159
0,5,146
0,6,156
0,7,167
0,8,156
0,9,158
1,0,279
1,1,318
1,2,279
1,3,286
1,4,270
1,5,252
1,6,273
1,7,290
1,8,274
1,9,279
2,0,216
2,1,247
2,2,215
2,3,225
2,4,213
2,5,199
2,6,214
2,7,233
2,8,213
2,9,225
3,0,261
3,1,293
3,2,258
3,3,264
3,4,252
3,5,235
3,6,258
3,7,275
3,8,252
3,9,252
4,0,158
4,1,180
4,2,158
4,3,162
4,4,160
4,5,145
4,6,157
4,7,166
4,8,156
4,9,158
5,0,60
5,1,69
5,2,62
5,3,61
5,4,57
5,5,54
5,6,59
5,7,61
5,8,59
5,9,58
6,0,100
6,1,111
6,2,105
6,3,104
6,4,97
6,5,90
6,6,97
6,7,102
6,8,96
6,9,98
7,0,214
7,1,246
7,2,218
7,3,224
7,4,216
7,5,200
7,6,213
7,7,230
7,8,221
7,9,218
8,0,175
8,1,204
8,2,181
8,3,181
8,4,176
8,5,162
8,6,179
8,7,187
8,8,177
8,9,178
9,0,239
9,1,270
9,2,238
9,3,248
9,4,231
9,5,216
9,6,232
9,7,252
9,8,232
9,9,242
10,0,258
10,1,290
10,2,260
10,3,265
10,4,251
10,5,235
10,6,257
10,7,274
10,8,254
10,9,256
11,0,203
11,1,222
11,2,199
11,3,205
11,4,193
11,5,180
11,6,198
11,7,211
11,8,192
11,9,197
12,0,85
12,1,90
12,2,78
12,3,82
12,4,76
12,5,72
12,6,77
12,7,81
12,8,78
12,9,81
13,0,196
13,1,226
13,2,198
13,3,208
13,4,192
13,5,180
13,6,197
13,7,207
13,8,198
13,9,198
14,0,292
14,1,340
14,2,300
14,3,305
14,4,291
14,5,272
14,6,296
14,7,316
14,8,293
14,9,295
15,0,120
15,1,134
15,2,122
15,3,124
15,4,115
15,5,108
15,6,118
15,7,126
15,8,114
15,9,119
16,0,291
16,1,335
16,2,303
16,3,308
16,4,290
16,5,271
16,6,299
16,7,313
16,8,290
16,9,300
17,0,219
17,1,248
17,2,220
17,3,225
17,4,213
17,5,198
17,6,216
17,7,228
17,8,216
17,9,217
18,0,178
18,1,202
18,2,177
18,3,181
18,4,176
18,5,163
18,6,176
18,7,190
18,8,176
18,9,181
19,0,254
19,1,291
19,2,257
19,3,265
19,4,252
19,5,234
19,6,263
19,7,272
19,8,258
19,9,254
20,0,197
20,1,223
20,2,199
20,3,206
20,4,194
20,5,180
20,6,194
20,7,209
20,8,199
20,9,199
21,0,258
21,1,293
21,2,255
21,3,264
21,4,256
21,5,234
21,6,257
21,7,270
21,8,251
21,9,262
22,0,120
22,1,135
22,2,120
22,3,123
22,4,120
22,5,109
22,6,118
22,7,121
22,8,116
22,9,118
23,0,139
23,1,158
23,2,137
23,3,144
23,4,135
23,5,127
23,6,142
23,7,146
23,8,134
23,9,138
24,0,313
24,1,361
24,2,314
24,3,330
24,4,317
24,5,290
24,6,315
24,7,333
24,8,307
24,9,320
25,0,159
25,1,178
25,2,157
25,3,163
25,4,156
25,5,147
25,6,159
25,7,165
25,8,155
25,9,161
26,0,212
26,1,249
26,2,217
26,3,225
26,4,215
26,5,198
26,6,217
26,7,233
26,8,216
26,9,218
27,0,155
27,1,180
27,2,161
27,3,164
27,4,156
27,5,144
27,6,162
27,7,167
27,8,157
27,9,154
28,0,217
28,1,247
28,2,214
28,3,222
28,4,216
28,5,199
28,6,223
28,7,227
28,8,217
28,9,218
29,0,196
29,1,223
29,2,201
29,3,202
29,4,197
29,5,181
29,6,196
29,7,213
29,8,194
29,9,197
