metis_server_id,label_id,img_count
,,count
0,0,590
0,1,673
0,2,600
0,3,619
0,4,583
0,5,541
0,6,594
0,7,618
0,8,592
0,9,590
1,0,588
1,1,668
1,2,597
1,3,619
1,4,581
1,5,544
1,6,590
1,7,634
1,8,587
1,9,592
2,0,594
2,1,675
2,2,601
2,3,608
2,4,582
2,5,542
2,6,594
2,7,623
2,8,587
2,9,594
3,0,592
3,1,672
3,2,591
3,3,619
3,4,587
3,5,542
3,6,591
3,7,624
3,8,581
3,9,601
4,0,597
4,1,674
4,2,592
4,3,616
4,4,583
4,5,543
4,6,595
4,7,628
4,8,576
4,9,596
5,0,597
5,1,677
5,2,596
5,3,610
5,4,581
5,5,543
5,6,591
5,7,624
5,8,585
5,9,596
6,0,593
6,1,682
6,2,598
6,3,607
6,4,585
6,5,540
6,6,587
6,7,626
6,8,590
6,9,592
7,0,592
7,1,675
7,2,593
7,3,610
7,4,585
7,5,544
7,6,599
7,7,626
7,8,584
7,9,592
8,0,589
8,1,675
8,2,589
8,3,612
8,4,589
8,5,541
8,6,594
8,7,630
8,8,584
8,9,597
9,0,591
9,1,671
9,2,601
9,3,611
9,4,586
9,5,541
9,6,583
9,7,632
9,8,585
9,9,599
