metis_server_id,label_id,img_count
0,0,375
0,1,49
0,2,18
0,3,201
0,4,373
0,5,181
0,6,205
0,7,204
0,8,191
0,9,203
1,0,190
1,1,36
1,2,554
1,3,205
1,4,383
1,5,180
1,6,27
1,7,211
1,8,193
1,9,21
2,0,20
2,1,578
2,2,378
2,3,204
2,4,198
2,5,181
2,6,197
2,7,208
2,8,11
2,9,25
3,0,380
3,1,407
3,2,20
3,3,27
3,4,13
3,5,180
3,6,197
3,7,206
3,8,375
3,9,195
4,0,22
4,1,51
4,2,372
4,3,565
4,4,190
4,5,181
4,6,198
4,7,210
4,8,193
4,9,18
5,0,201
5,1,222
5,2,24
5,3,17
5,4,372
5,5,180
5,6,375
5,7,212
5,8,196
5,9,201
6,0,196
6,1,406
6,2,380
6,3,22
6,4,190
6,5,182
6,6,14
6,7,208
6,8,197
6,9,205
7,0,195
7,1,50
7,2,200
7,3,560
7,4,12
7,5,180
7,6,199
7,7,210
7,8,196
7,9,198
8,0,16
8,1,394
8,2,192
8,3,396
8,4,14
8,5,181
8,6,201
8,7,210
8,8,21
8,9,375
9,0,372
9,1,406
9,2,203
9,3,208
9,4,196
9,5,180
9,6,9
9,7,36
9,8,373
9,9,17
10,0,21
10,1,398
10,2,197
10,3,19
10,4,202
10,5,361
10,6,557
10,7,214
10,8,18
10,9,13
11,0,554
11,1,228
11,2,201
11,3,25
11,4,192
11,5,360
11,6,195
11,7,217
11,8,12
11,9,16
12,0,376
12,1,226
12,2,27
12,3,200
12,4,13
12,5,180
12,6,193
12,7,384
12,8,194
12,9,207
13,0,383
13,1,41
13,2,377
13,3,24
13,4,372
13,5,180
13,6,15
13,7,207
13,8,21
13,9,380
14,0,24
14,1,217
14,2,14
14,3,26
14,4,196
14,5,182
14,6,552
14,7,217
14,8,373
14,9,199
15,0,379
15,1,405
15,2,198
15,3,206
15,4,192
15,5,181
15,6,22
15,7,210
15,8,193
15,9,14
16,0,376
16,1,225
16,2,199
16,3,25
16,4,17
16,5,181
16,6,196
16,7,393
16,8,194
16,9,194
17,0,205
17,1,412
17,2,379
17,3,198
17,4,195
17,5,1
17,6,16
17,7,202
17,8,195
17,9,197
18,0,9
18,1,60
18,2,379
18,3,204
18,4,194
18,5,180
18,6,202
18,7,199
18,8,194
18,9,379
19,0,22
19,1,230
19,2,200
19,3,206
19,4,197
19,5,180
19,6,194
19,7,202
19,8,192
19,9,377
20,0,198
20,1,50
20,2,12
20,3,212
20,4,380
20,5,180
20,6,204
20,7,199
20,8,193
20,9,372
21,0,20
21,1,217
21,2,194
21,3,33
21,4,195
21,5,182
21,6,558
21,7,206
21,8,22
21,9,373
22,0,13
22,1,40
22,2,21
22,3,33
22,4,191
22,5,360
22,6,735
22,7,219
22,8,374
22,9,14
23,0,379
23,1,221
23,2,20
23,3,385
23,4,375
23,5,181
23,6,15
23,7,213
23,8,192
23,9,19
24,0,374
24,1,394
24,2,377
24,3,202
24,4,18
24,5,181
24,6,20
24,7,218
24,8,198
24,9,18
25,0,370
25,1,225
25,2,207
25,3,197
25,4,195
25,5,180
25,6,15
25,7,213
25,8,198
25,9,200
26,0,28
26,1,53
26,2,384
26,3,375
26,4,196
26,5,2
26,6,17
26,7,195
26,8,550
26,9,200
27,0,14
27,1,227
27,2,23
27,3,22
27,4,553
27,5,180
27,6,373
27,7,31
27,8,195
27,9,382
28,0,195
28,1,222
28,2,194
28,3,207
28,4,13
28,5,180
28,6,199
28,7,210
28,8,198
28,9,382
29,0,16
29,1,52
29,2,14
29,3,927
29,4,15
29,5,3
29,6,18
29,7,201
29,8,199
29,9,555
