mip_server_id,label_id,img_count
,,count
0,0,1459
0,1,3585
0,2,2391
0,3,1885
0,4,1978
0,5,1988
0,6,1811
0,7,2640
0,8,1978
0,9,3085
1,0,210
1,1,256
1,2,391
1,3,38
1,4,555
1,5,180
1,6,560
1,7,51
1,8,568
1,9,391
2,0,23
2,1,246
2,2,30
2,3,762
2,4,199
2,5,361
2,6,573
2,7,613
2,8,379
2,9,214
3,0,29
3,1,250
3,2,388
3,3,218
3,4,378
3,5,360
3,6,204
3,7,403
3,8,197
3,9,573
4,0,196
4,1,72
4,2,206
4,3,400
4,4,386
4,5,3
4,6,210
4,7,1133
4,8,386
4,9,208
5,0,763
5,1,94
5,2,401
5,3,769
5,4,23
5,5,720
5,6,749
5,7,65
5,8,390
5,9,226
6,0,224
6,1,632
6,2,217
6,3,425
6,4,752
6,5,181
6,6,408
6,7,425
6,8,572
6,9,764
7,0,583
7,1,647
7,2,400
7,3,779
7,4,408
7,5,543
7,6,230
7,7,426
7,8,388
7,9,396
8,0,942
8,1,652
8,2,582
8,3,610
8,4,574
8,5,542
8,6,399
8,7,248
8,8,220
8,9,31
9,0,1494
9,1,308
9,2,952
9,3,245
9,4,589
9,5,543
9,6,774
9,7,261
9,8,773
9,9,61
